_id,keywords_en,keyword_hash,image_url,categories,tags
2239,bee,9dfd70fd,https://static.arasaac.org/pictograms/2239/2239_500.png,herbivorous|insect|oviparous|flying animal|apiculture|domestic animal,animal|herbivorous|invertebrate|arthropod|insect|oviparous|flying animal|work|primary sector|apiculture|domestic
2242,coat|overcoat|greatcoat,bed0ee8b,https://static.arasaac.org/pictograms/2242/2242_500.png,clothes|core vocabulary-object|fashion,object|fashion|clothes|core vocabulary
2243,grandmother|granny|grandma,6bd238de,https://static.arasaac.org/pictograms/2243/2243_500.png,elderly|family,person|elderly|family
2244,grandfather|grandpa,3af9a51e,https://static.arasaac.org/pictograms/2244/2244_500.png,elderly|family,person|elderly|family
2245,boring|dull,d8d3da6b,https://static.arasaac.org/pictograms/2245/2245_500.png,qualifying adjective|feeling,communication|language|adjective|qualifying adjective|psychology|feeling|emotion
2246,olive oil|oil,0d8bd520,https://static.arasaac.org/pictograms/2246/2246_500.png,condiment|cookery|core vocabulary-feeding|gastronomy,feeding|food|ultra-processed food|condiment|cookery|core vocabulary|gastronomy
2247,pavement|sidewalk,6d587f68,https://static.arasaac.org/pictograms/2247/2247_500.png,infrastructure|land transport|road safety,place|infrastructure|movement|traffic|mode of transport|land transport|road safety
2248,water,9460370b,https://static.arasaac.org/pictograms/2248/2248_500.png,beverage|mineral rich food,feeding|food|beverage|mineral rich food
2249,carpet|rug,840f09c5,https://static.arasaac.org/pictograms/2249/2249_500.png,trousseau,object|household|trousseau|home
2250,pillow,028dbbfa,https://static.arasaac.org/pictograms/2250/2250_500.png,trousseau|core vocabulary-object,object|household|trousseau|home|core vocabulary
2251,ambulance,e0d0f09d,https://static.arasaac.org/pictograms/2251/2251_500.png,land transport|covid-19,movement|traffic|mode of transport|land transport|covid-19
2252,ring,1a5df958,https://static.arasaac.org/pictograms/2252/2252_500.png,jewelry|accessories,object|fashion|jewelry|accessories
2253,dish antenna|dish aerial,7573be1b,https://static.arasaac.org/pictograms/2253/2253_500.png,mass media device|building facility,object|appliance|mass media device|mass media|place|building|building facility
2254,spider,f1a81d78,https://static.arasaac.org/pictograms/2254/2254_500.png,arachnid|oviparous|terrestrial animal|carnivorous|halloween|wild animal|core vocabulary-living being|core vocabulary-time,animal|invertebrate|arthropod|arachnid|oviparous|terrestrial animal|carnivorous|event|popular event|halloween|wild|core vocabulary
2255,friends,28f20a02,https://static.arasaac.org/pictograms/2255/2255_500.png,group,person|group
2256,tree,c0af77cf,https://static.arasaac.org/pictograms/2256/2256_500.png,tree|playground,plant|tree|place|facility|recreational facility|leisure|playground
2257,squirrel,eac074b0,https://static.arasaac.org/pictograms/2257/2257_500.png,herbivorous|mammal|viviparous|terrestrial animal,animal|herbivorous|vertebrate|mammal|viviparous|terrestrial animal
2258,wardrobe|closet,43731ceb,https://static.arasaac.org/pictograms/2258/2258_500.png,furniture|core vocabulary-object,object|furniture|core vocabulary
2259,rice and tomato sauce|rice with tomato,76bb4bed,https://static.arasaac.org/pictograms/2259/2259_500.png,gastronomy,feeding|food|gastronomy
2260,lift|elevator,2ddc50c3,https://static.arasaac.org/pictograms/2260/2260_500.png,building facility|construction|residential building|core vocabulary-place|core vocabulary-work,place|building|building facility|work|secondary sector|construction|home|core vocabulary
2261,scared|frightened,4b5ec256,https://static.arasaac.org/pictograms/2261/2261_500.png,qualifying adjective|feeling,communication|language|adjective|qualifying adjective|psychology|feeling|emotion
2262,bus|coach|autobus|passenger vehicle,f1ec183e,https://static.arasaac.org/pictograms/2262/2262_500.png,land transport|core vocabulary-movement,movement|traffic|mode of transport|land transport|core vocabulary
2263,bus|urban bus,dac02a0b,https://static.arasaac.org/pictograms/2263/2263_500.png,land transport,movement|traffic|mode of transport|land transport
2264,aeroplane|airliner,66aa4bbc,https://static.arasaac.org/pictograms/2264/2264_500.png,aerial transport|core vocabulary-movement,movement|traffic|mode of transport|air transport|core vocabulary
2265,sugar bowl,19822b42,https://static.arasaac.org/pictograms/2265/2265_500.png,utensil,object|household|utensil|home
2266,sugar bowl,19822b42,https://static.arasaac.org/pictograms/2266/2266_500.png,utensil|cookery,object|household|utensil|home|feeding|cookery
2267,bib,3222ac28,https://static.arasaac.org/pictograms/2267/2267_500.png,accessories,object|fashion|accessories
2268,whale,1ebfd591,https://static.arasaac.org/pictograms/2268/2268_500.png,omnivorous|mammal|viviparous|marine animal|wild animal|core vocabulary-living being,animal|omnivorous|vertebrate|mammal|viviparous|aquatic animal|marine animal|sea|wild|core vocabulary
2269,ball|soccer ball,3c65375e,https://static.arasaac.org/pictograms/2269/2269_500.png,sport material|football,leisure|sport|sport material|football
2270,swimsuit|swimming costume,ef3753ea,https://static.arasaac.org/pictograms/2270/2270_500.png,clothes|swimming|sportswear|swimming pool|beach|core vocabulary-object|core vocabulary-leisure,object|fashion|clothes|leisure|sport|swimming|sportswear|clothing|outdoor activity|swimming pool|beach|core vocabulary
2271,bathe,9c87c2d7,https://static.arasaac.org/pictograms/2271/2271_500.png,verb|corporal hygiene|building facility,communication|language|verb|human body|hygiene|corporal hygiene|place|building|building facility
2272,bathtub|bath|tub,95eec235,https://static.arasaac.org/pictograms/2272/2272_500.png,building facility|residential building,place|building|building facility|home
2273,boat|ocean liner,c89463b0,https://static.arasaac.org/pictograms/2273/2273_500.png,water transport,movement|traffic|mode of transport|water transport
2274,mixer|electric mixer,1ad620cd,https://static.arasaac.org/pictograms/2274/2274_500.png,electrical appliance|cookery,object|appliance|electrical appliance|home|feeding|cookery
2275,baby|babe,7063960b,https://static.arasaac.org/pictograms/2275/2275_500.png,baby|childcare,person|baby|health|medicine|babycare
2276,drink,0b18a3d7,https://static.arasaac.org/pictograms/2276/2276_500.png,verb|beverage|basic needs,communication|language|verb|feeding|food|beverage|person|basic needs
2277,bicycle|bike,61a818e0,https://static.arasaac.org/pictograms/2277/2277_500.png,land transport,movement|traffic|mode of transport|land transport
2278,bidet,ca6c7207,https://static.arasaac.org/pictograms/2278/2278_500.png,building facility|residential building,place|building|building facility|home
2279,bikini,e5d4ad9a,https://static.arasaac.org/pictograms/2279/2279_500.png,clothes|swimming|swimming pool|beach,object|fashion|clothes|leisure|sport|swimming|outdoor activity|swimming pool|beach
2280,blouse,2bbbc09c,https://static.arasaac.org/pictograms/2280/2280_500.png,clothes,object|fashion|clothes
2281,sandwich,4a048904,https://static.arasaac.org/pictograms/2281/2281_500.png,processed food|core vocabulary-feeding,feeding|food|processed food|core vocabulary
