synset,pictogram_id,primary_keyword,image_url
04222469-n,2247,pavement,https://api.arasaac.org/api/pictograms/2247
07951744-n,2248,water,https://api.arasaac.org/api/pictograms/2248
14869913-n,2248,water,https://api.arasaac.org/api/pictograms/2248
04125115-n,2249,carpet,https://api.arasaac.org/api/pictograms/2249
03944520-n,2250,pillow,https://api.arasaac.org/api/pictograms/2250
02703861-n,2251,ambulance,https://api.arasaac.org/api/pictograms/2251
01348155-s,2245,boring,https://api.arasaac.org/api/pictograms/2245
10161911-n,2244,grandfather,https://api.arasaac.org/api/pictograms/2244
04099721-n,2252,ring,https://api.arasaac.org/api/pictograms/2252
07690253-n,2246,olive oil,https://api.arasaac.org/api/pictograms/2246
07689142-n,2246,olive oil,https://api.arasaac.org/api/pictograms/2246
10132360-n,2255,friends,https://api.arasaac.org/api/pictograms/2255
02357879-n,2257,squirrel,https://api.arasaac.org/api/pictograms/2257
13124818-n,2256,tree,https://api.arasaac.org/api/pictograms/2256
04557470-n,2258,wardrobe,https://api.arasaac.org/api/pictograms/2258
03286056-n,2260,lift,https://api.arasaac.org/api/pictograms/2260
07820299-n,2259,rice and tomato sauce,https://api.arasaac.org/api/pictograms/2259
07820633-n,2259,rice and tomato sauce,https://api.arasaac.org/api/pictograms/2259
03212026-n,2253,dish antenna,https://api.arasaac.org/api/pictograms/2253
01774863-n,2254,spider,https://api.arasaac.org/api/pictograms/2254
10162267-n,2243,grandmother,https://api.arasaac.org/api/pictograms/2243
02927500-n,2262,bus,https://api.arasaac.org/api/pictograms/2262
02927500-n,2263,bus,https://api.arasaac.org/api/pictograms/2263
00080219-s,2261,scared,https://api.arasaac.org/api/pictograms/2261
00080947-s,2261,scared,https://api.arasaac.org/api/pictograms/2261
02694015-n,2264,aeroplane,https://api.arasaac.org/api/pictograms/2264
02689427-n,2264,aeroplane,https://api.arasaac.org/api/pictograms/2264
02693232-n,2264,aeroplane,https://api.arasaac.org/api/pictograms/2264
03601053-n,2264,aeroplane,https://api.arasaac.org/api/pictograms/2264
04357659-n,2265,sugar bowl,https://api.arasaac.org/api/pictograms/2265
04357659-n,2266,sugar bowl,https://api.arasaac.org/api/pictograms/2266
03061006-n,2242,coat,https://api.arasaac.org/api/pictograms/2242
03461607-n,2242,coat,https://api.arasaac.org/api/pictograms/2242
04195013-n,2242,coat,https://api.arasaac.org/api/pictograms/2242
00035596-v,2271,bathe,https://api.arasaac.org/api/pictograms/2271
04165868-n,2273,boat,https://api.arasaac.org/api/pictograms/2273
02861626-n,2273,boat,https://api.arasaac.org/api/pictograms/2273
03678353-n,2273,boat,https://api.arasaac.org/api/pictograms/2273
02811600-n,2272,bathtub,https://api.arasaac.org/api/pictograms/2272
03780732-n,2274,mixer,https://api.arasaac.org/api/pictograms/2274
03277851-n,2274,mixer,https://api.arasaac.org/api/pictograms/2274
01172332-v,2276,drink,https://api.arasaac.org/api/pictograms/2276
09846929-n,2275,baby,https://api.arasaac.org/api/pictograms/2275
02837983-n,2277,bicycle,https://api.arasaac.org/api/pictograms/2277
02209508-n,2239,bee,https://api.arasaac.org/api/pictograms/2239
02858206-n,2280,blouse,https://api.arasaac.org/api/pictograms/2280
02841003-n,2279,bikini,https://api.arasaac.org/api/pictograms/2279
07711710-n,2281,sandwich,https://api.arasaac.org/api/pictograms/2281
02786184-n,2282,ball-point pen,https://api.arasaac.org/api/pictograms/2282
02777157-n,2284,handbag,https://api.arasaac.org/api/pictograms/2284
00463865-n,2283,bowls,https://api.arasaac.org/api/pictograms/2283
01551500-v,2286,erase,https://api.arasaac.org/api/pictograms/2286
04378650-n,2270,swimsuit,https://api.arasaac.org/api/pictograms/2270
03671250-n,2285,light bulb,https://api.arasaac.org/api/pictograms/2285
02839379-n,2278,bidet,https://api.arasaac.org/api/pictograms/2278
04261790-n,2269,ball,https://api.arasaac.org/api/pictograms/2269
02781674-n,2269,ball,https://api.arasaac.org/api/pictograms/2269
02879899-n,2288,bottle,https://api.arasaac.org/api/pictograms/2288
04123388-n,2287,boots,https://api.arasaac.org/api/pictograms/2287
02876113-n,2287,boots,https://api.arasaac.org/api/pictograms/2287
03890725-n,2289,panties,https://api.arasaac.org/api/pictograms/2289
02857998-n,2289,panties,https://api.arasaac.org/api/pictograms/2289
02392211-n,2291,donkey,https://api.arasaac.org/api/pictograms/2291
02391998-n,2291,donkey,https://api.arasaac.org/api/pictograms/2291
04150962-n,2290,scarf,https://api.arasaac.org/api/pictograms/2290
03995432-n,2292,post-box,https://api.arasaac.org/api/pictograms/2292
02065397-n,2268,whale,https://api.arasaac.org/api/pictograms/2268
04261887-n,2298,socks,https://api.arasaac.org/api/pictograms/2298
04342347-n,2299,street,https://api.arasaac.org/api/pictograms/2299
04341737-n,2299,street,https://api.arasaac.org/api/pictograms/2299
02766477-n,2299,street,https://api.arasaac.org/api/pictograms/2299
02837500-n,2267,bib,https://api.arasaac.org/api/pictograms/2267
01250274-a,2300,hot,https://api.arasaac.org/api/pictograms/2300
04515784-n,2303,underpants,https://api.arasaac.org/api/pictograms/2303
02821967-n,2304,bed,https://api.arasaac.org/api/pictograms/2304
04103160-n,2302,road,https://api.arasaac.org/api/pictograms/2302
04104621-n,2302,road,https://api.arasaac.org/api/pictograms/2302
03695799-n,2306,lorry,https://api.arasaac.org/api/pictograms/2306
03774770-n,2307,toy truck,https://api.arasaac.org/api/pictograms/2307
03971038-n,2307,toy truck,https://api.arasaac.org/api/pictograms/2307
04469337-n,2307,toy truck,https://api.arasaac.org/api/pictograms/2307
02439943-n,2305,dromedary,https://api.arasaac.org/api/pictograms/2305
03600807-n,2309,T-shirt,https://api.arasaac.org/api/pictograms/2309
04230374-n,2310,undershirt,https://api.arasaac.org/api/pictograms/2310
04204434-n,2308,shirt,https://api.arasaac.org/api/pictograms/2308
03243582-n,2308,shirt,https://api.arasaac.org/api/pictograms/2308
03829921-n,2311,nightdress,https://api.arasaac.org/api/pictograms/2311
07945759-n,2296,coffee,https://api.arasaac.org/api/pictograms/2296
02440540-a,2314,tired,https://api.arasaac.org/api/pictograms/2314
02442263-s,2314,tired,https://api.arasaac.org/api/pictograms/2314
03995432-n,2293,post-box,https://api.arasaac.org/api/pictograms/2293
02377103-n,2294,horse,https://api.arasaac.org/api/pictograms/2294
02419165-n,2295,goat,https://api.arasaac.org/api/pictograms/2295
02419526-n,2295,goat,https://api.arasaac.org/api/pictograms/2295
02420180-n,2295,goat,https://api.arasaac.org/api/pictograms/2295
02419716-n,2295,goat,https://api.arasaac.org/api/pictograms/2295
01733312-v,2315,sing,https://api.arasaac.org/api/pictograms/2315
07665463-n,2316,meat,https://api.arasaac.org/api/pictograms/2316
03549540-n,2317,house,https://api.arasaac.org/api/pictograms/2317
08094856-n,2317,house,https://api.arasaac.org/api/pictograms/2317
02872589-n,2318,castanets,https://api.arasaac.org/api/pictograms/2318
03594978-n,2319,jacket,https://api.arasaac.org/api/pictograms/2319
01879775-n,2313,kangaroo,https://api.arasaac.org/api/pictograms/2313
01880453-n,2313,kangaroo,https://api.arasaac.org/api/pictograms/2313
02393701-n,2324,zebra,https://api.arasaac.org/api/pictograms/2324
01246546-v,2326,brush teeth,https://api.arasaac.org/api/pictograms/2326
02996250-n,2325,Sellotape,https://api.arasaac.org/api/pictograms/2325
03001610-n,2328,cereals,https://api.arasaac.org/api/pictograms/2328
03001517-n,2328,cereals,https://api.arasaac.org/api/pictograms/2328
02398058-n,2327,pig,https://api.arasaac.org/api/pictograms/2327
07773108-n,2329,cherries,https://api.arasaac.org/api/pictograms/2329
07773288-n,2329,cherries,https://api.arasaac.org/api/pictograms/2329
07902824-n,2330,beer,https://api.arasaac.org/api/pictograms/2330
02826892-n,2330,beer,https://api.arasaac.org/api/pictograms/2330
03067341-n,2297,coffee maker,https://api.arasaac.org/api/pictograms/2297
07750720-n,2331,mushrooms,https://api.arasaac.org/api/pictograms/2331
13022289-n,2331,mushrooms,https://api.arasaac.org/api/pictograms/2331
13021651-n,2331,mushrooms,https://api.arasaac.org/api/pictograms/2331
01979598-n,2312,crab,https://api.arasaac.org/api/pictograms/2312
07803956-n,2312,crab,https://api.arasaac.org/api/pictograms/2312
01981571-n,2312,crab,https://api.arasaac.org/api/pictograms/2312
04357983-n,2332,tracksuit,https://api.arasaac.org/api/pictograms/2332
03021082-n,2333,chimney,https://api.arasaac.org/api/pictograms/2333
07617570-n,2334,chocolate,https://api.arasaac.org/api/pictograms/2334
07619120-n,2334,chocolate,https://api.arasaac.org/api/pictograms/2334
07692265-n,2335,chorizo,https://api.arasaac.org/api/pictograms/2335
02830790-n,2336,belt,https://api.arasaac.org/api/pictograms/2336
07944936-n,2338,Coca-Cola,https://api.arasaac.org/api/pictograms/2338
07944171-n,2338,Coca-Cola,https://api.arasaac.org/api/pictograms/2338
02961779-n,2340,toy car,https://api.arasaac.org/api/pictograms/2340
03638382-n,2320,ladle,https://api.arasaac.org/api/pictograms/2320
04270446-n,2320,ladle,https://api.arasaac.org/api/pictograms/2320
04337478-n,2341,stove,https://api.arasaac.org/api/pictograms/2341
03430505-n,2341,stove,https://api.arasaac.org/api/pictograms/2341
02992134-n,2322,CD,https://api.arasaac.org/api/pictograms/2322
03083234-n,2322,CD,https://api.arasaac.org/api/pictograms/2322
12453586-n,2323,onion,https://api.arasaac.org/api/pictograms/2323
07737962-n,2323,onion,https://api.arasaac.org/api/pictograms/2323
01699819-n,2343,crocodile,https://api.arasaac.org/api/pictograms/2343
01668067-v,2342,cook,https://api.arasaac.org/api/pictograms/2342
01669533-v,2342,cook,https://api.arasaac.org/api/pictograms/2342
00324657-v,2342,cook,https://api.arasaac.org/api/pictograms/2342
04223701-n,2345,sieve,https://api.arasaac.org/api/pictograms/2345
03733437-n,2346,mat,https://api.arasaac.org/api/pictograms/2346
01861082-n,2337,swan,https://api.arasaac.org/api/pictograms/2337
03626682-n,2350,kite,https://api.arasaac.org/api/pictograms/2350
00437207-a,2352,confused,https://api.arasaac.org/api/pictograms/2352
01688793-s,2352,confused,https://api.arasaac.org/api/pictograms/2352
02326697-n,2351,rabbit,https://api.arasaac.org/api/pictograms/2351
09971432-n,2353,concierge,https://api.arasaac.org/api/pictograms/2353
10046278-n,2353,concierge,https://api.arasaac.org/api/pictograms/2353
10695160-n,2353,concierge,https://api.arasaac.org/api/pictograms/2353
04273014-n,2344,rocket,https://api.arasaac.org/api/pictograms/2344
04106523-n,2344,rocket,https://api.arasaac.org/api/pictograms/2344
03443167-n,2356,glass,https://api.arasaac.org/api/pictograms/2356
03155743-n,2357,curtains,https://api.arasaac.org/api/pictograms/2357
04072901-n,2355,recycling bin,https://api.arasaac.org/api/pictograms/2355
02843139-n,2355,recycling bin,https://api.arasaac.org/api/pictograms/2355
07707395-n,2358,croissant,https://api.arasaac.org/api/pictograms/2358
06427062-n,2359,logbook,https://api.arasaac.org/api/pictograms/2359
02913195-n,2361,bucket and spade,https://api.arasaac.org/api/pictograms/2361
04273596-n,2361,bucket and spade,https://api.arasaac.org/api/pictograms/2361
03882197-n,2360,painting,https://api.arasaac.org/api/pictograms/2360
04291140-n,2362,spoon,https://api.arasaac.org/api/pictograms/2362
00459914-n,2354,console,https://api.arasaac.org/api/pictograms/2354
02733935-n,2366,apron,https://api.arasaac.org/api/pictograms/2366
14346126-n,2367,pain,https://api.arasaac.org/api/pictograms/2367
05732639-n,2367,pain,https://api.arasaac.org/api/pictograms/2367
07654678-n,2368,donut,https://api.arasaac.org/api/pictograms/2368
03820446-n,2347,collar,https://api.arasaac.org/api/pictograms/2347
03028565-n,2347,collar,https://api.arasaac.org/api/pictograms/2347
01688794-v,2348,paint,https://api.arasaac.org/api/pictograms/2348
01700543-v,2348,paint,https://api.arasaac.org/api/pictograms/2348
00284671-v,2348,paint,https://api.arasaac.org/api/pictograms/2348
01365439-v,2348,paint,https://api.arasaac.org/api/pictograms/2348
01170802-v,2349,eat,https://api.arasaac.org/api/pictograms/2349
01159300-v,2349,eat,https://api.arasaac.org/api/pictograms/2349
00014735-v,2369,sleep,https://api.arasaac.org/api/pictograms/2369
04216003-n,2370,shower,https://api.arasaac.org/api/pictograms/2370
06425102-n,2364,tale,https://api.arasaac.org/api/pictograms/2364
07235754-n,2364,tale,https://api.arasaac.org/api/pictograms/2364
02506148-n,2372,elephant,https://api.arasaac.org/api/pictograms/2372
03974625-n,2373,plug,https://api.arasaac.org/api/pictograms/2373
04262144-n,2373,plug,https://api.arasaac.org/api/pictograms/2373
00035252-v,2371,have a shower,https://api.arasaac.org/api/pictograms/2371
07822197-n,2377,salad,https://api.arasaac.org/api/pictograms/2377
03638382-n,2363,ladle,https://api.arasaac.org/api/pictograms/2363
02760467-n,2378,music system,https://api.arasaac.org/api/pictograms/2378
02961779-n,2339,car,https://api.arasaac.org/api/pictograms/2339
04531608-n,2339,car,https://api.arasaac.org/api/pictograms/2339
04305309-n,2379,stairs,https://api.arasaac.org/api/pictograms/2379
07715748-n,2383,spaghetti,https://api.arasaac.org/api/pictograms/2383
07715659-n,2383,spaghetti,https://api.arasaac.org/api/pictograms/2383
01694952-v,2380,write,https://api.arasaac.org/api/pictograms/2380
00995046-v,2380,write,https://api.arasaac.org/api/pictograms/2380
06371284-n,2380,write,https://api.arasaac.org/api/pictograms/2380
